governorate,year,avg_hh
1101,1997,5.9
1101,2007,5.3
1101,2017,4.886559132
1105,1997,6.1
1105,2007,5.3
1105,2017,4.92546205
1110,1997,5.8
1110,2007,5.3
1110,2017,4.853730245
1120,1997,6.1
1120,2007,5.6
1120,2017,4.887617938
1125,1997,6
1125,2007,5.4
1125,2017,4.873009612
1115,1997,5.9
1115,2007,5.4
1115,2017,4.872989381
1230,1997,5.9
1230,2007,5.9
1230,2017,4.903213118
1240,1997,5.4
1240,2007,5.4
1240,2017,4.852751174
1235,1997,6.2
1235,2007,6.2
1235,2017,4.896873941
1345,1997,5.8
1345,2007,5.3
1345,2017,4.062633727
1350,1997,6.7
1350,2007,6.140665107
1350,2017,4.921334243
2455,1997,7.2
2455,2007,6.70020705
2455,2017,5.742358163
2413,1997,6.9
2413,2007,6.461631766
2413,2017,5.601801018
2465,1997,6.9
2465,2007,6.403605616
2465,2017,5.702815253
2470,1997,6.9
2470,2007,6.272180557
2470,2017,5.595611628
2475,1997,6.9
2475,2007,6.470463416
2475,2017,5.659116347
